"Resident Population.age-specific baseline mortality rate[male, age]",1.99375,1.99375,0.14375,0.14375,0.14375,0.14375,0.1,0.1,0.1,0.1,0.1,0.128571429,0.128571429,0.128571429,0.128571429,0.128571429,0.24375,0.24375,0.24375,0.24375,0.24375,0.375,0.375,0.375,0.375,0.375,0.38125,0.38125,0.38125,0.38125,0.38125,0.4625,0.4625,0.4625,0.4625,0.4625,0.65,0.65,0.65,0.65,0.65,1.075,1.075,1.075,1.075,1.075,1.8125,1.8125,1.8125,1.8125,1.8125,3.04375,3.04375,3.04375,3.04375,3.04375,5.13125,5.13125,5.13125,5.13125,5.13125,8.34375,8.34375,8.34375,8.34375,8.34375,13.56875,13.56875,13.56875,13.56875,13.56875,22.76875,22.76875,22.76875,22.76875,22.76875,38.46875,38.46875,38.46875,38.46875,38.46875,66.38125,66.38125,66.38125,66.38125,66.38125,110.475,110.475,110.475,110.475,110.475,173.4125,173.4125,173.4125,173.4125,173.4125,173.4125,173.4125,173.4125,173.4125,173.4125,173.4125
"Resident Population.age-specific baseline mortality rate[female, age]",1.9375,1.9375,0.113333333,0.113333333,0.113333333,0.113333333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1625,0.1625,0.1625,0.1625,0.1625,0.175,0.175,0.175,0.175,0.175,0.18125,0.18125,0.18125,0.18125,0.18125,0.2625,0.2625,0.2625,0.2625,0.2625,0.39375,0.39375,0.39375,0.39375,0.39375,0.63125,0.63125,0.63125,0.63125,0.63125,1.08125,1.08125,1.08125,1.08125,1.08125,1.80625,1.80625,1.80625,1.80625,1.80625,2.85625,2.85625,2.85625,2.85625,2.85625,4.4375,4.4375,4.4375,4.4375,4.4375,7.2,7.2,7.2,7.2,7.2,12.15,12.15,12.15,12.15,12.15,22.90625,22.90625,22.90625,22.90625,22.90625,43.20625,43.20625,43.20625,43.20625,43.20625,78.55,78.55,78.55,78.55,78.55,154.11875,154.11875,154.11875,154.11875,154.11875,154.11875,154.11875,154.11875,154.11875,154.11875,154.11875
Resident Population.fertility rate[age],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89375,2.89375,2.89375,2.89375,2.89375,15.60625,15.60625,15.60625,15.60625,15.60625,59.85625,59.85625,59.85625,59.85625,59.85625,89.74375,89.74375,89.74375,89.74375,89.74375,47.90625,47.90625,47.90625,47.90625,47.90625,8.8625,8.8625,8.8625,8.8625,8.8625,0.4125,0.4125,0.4125,0.4125,0.4125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resident Population.gender proportion of babies[gender],0.48,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Resident Population.resident population[Chinese, male, age]",0,11690,13107,13950,13455,13487,13571,13356,14338,14505,17005,16697,15834,17430,18070,18586,18931,19051,19018,18352,19485,18320,20385,18161,15176,16447,17921,17645,19421,20061,19949,20134,20515,19805,21675,20834,20944,22355,23515,22760,22362,21187,20958,22171,22038,23786,23840,24638,24439,23844,24238,24103,24187,23577,23634,22634,21785,21675,20195,19017,18028,17950,17426,16157,15756,10845,8246,10067,8737,8412,9557,9180,8616,6932,5621,5579,5823,4989,4479,4093,3593,3222,2843,2371,2108,1639,1394,1157,989,801,693,542,432,357,276,193,174,120,88,79,67,203
"Resident Population.resident population[Chinese, female, age]",0,11185,12384,13323,12864,12868,13017,12598,13749,13769,15956,15514,14790,16486,16984,17635,17837,18448,17940,18052,19025,17704,20184,17837,15012,16495,18214,18512,20599,21441,21808,21914,22664,22086,24153,22899,23075,24651,25686,24861,24551,23386,23104,23577,22871,24255,23859,24781,24285,23825,23812,23940,23963,23559,23628,22693,21867,21018,19889,19097,18006,18164,17480,16789,16480,11286,8727,10866,9102,9420,10901,10600,10107,7923,6421,6368,7385,6493,5913,5605,5138,4929,4737,4232,3762,3205,2595,2384,2188,1861,1610,1405,1142,985,791,631,503,392,343,235,168,446
"Resident Population.resident population[Malay, male, age]",0,3016,3261,3308,3458,3453,3440,3484,3725,4089,4322,4246,4489,4484,4593,4710,4781,5098,5044,4937,5210,5001,4811,4588,4053,4204,4025,3816,3902,3638,3514,3159,2849,2801,2766,2764,3079,3090,3456,3295,3227,3004,3332,3800,4053,4306,4290,4614,4405,4453,4326,4252,4009,3804,3545,3355,3172,3097,2642,2343,2143,2104,1907,1861,1945,1114,845,1059,782,734,917,932,892,773,705,681,802,634,555,434,379,407,405,347,310,237,211,158,149,136,71,71,50,50,40,14,6,7,7,8,3,12
"Resident Population.resident population[Malay, female, age]",0,2906,3096,3260,3159,3286,3233,3416,3534,3723,3912,4111,3951,4357,4258,4390,4508,4713,4732,4866,4738,4897,4567,4361,4034,3993,4005,3732,3851,3590,3580,3241,3157,3058,2967,3045,3225,3315,3523,3526,3463,3248,3609,3798,4299,4520,4473,4630,4462,4433,4331,4186,3965,3828,3559,3433,3268,3108,2807,2625,2330,2325,2081,2039,2053,1179,991,1244,1009,973,1108,1112,1129,922,680,888,1117,953,740,637,501,536,472,426,376,201,230,164,179,163,76,66,54,55,40,10,13,10,14,12,4,10
"Resident Population.resident population[Indian, male, age]",0,1447,2236,2739,2874,2820,2698,2782,2634,2630,2569,2581,2434,2388,2326,2291,2301,2311,2336,2176,2190,2171,2158,2120,2101,2071,2186,2314,2680,3037,3364,3554,3665,3806,4055,3910,4195,4027,4034,4132,3911,3636,3564,3412,3433,3337,3146,3140,2864,2776,2773,2743,2556,2390,2133,2106,1848,1757,1745,1541,1369,1451,1284,1247,1212,734,613,653,573,655,638,656,504,434,390,398,418,398,439,410,378,369,328,257,228,224,181,149,99,93,60,54,57,44,32,35,23,17,9,19,4,37
"Resident Population.resident population[Indian, female, age]",0,1480,2274,2812,2888,2855,2812,2697,2668,2571,2494,2416,2458,2421,2339,2292,2265,2357,2273,2293,2267,2192,2154,2265,2168,2288,2683,2797,3236,3366,3663,3778,3553,3414,3396,3284,3198,3089,2962,2840,2697,2547,2529,2502,2545,2588,2533,2594,2555,2448,2422,2363,2152,2100,1965,1935,1848,1697,1544,1540,1419,1449,1390,1220,1273,749,648,653,603,674,666,714,657,592,515,514,531,423,403,358,289,309,251,236,185,128,121,98,100,64,46,36,30,22,23,7,6,6,5,8,2,7
